Player,Age,Squad,Comp,Pos,Role,Min,Gls,Ast,G+A,xG,xAG,PrgP,starter_ratio
Gabriel Osei Misehouy,19.0,Girona,es La Liga,"FW,MF",Finisher,257,1,0,1,0.9,0.3,15,0.1111111111111111
William Osula,20.0,Newcastle Utd,eng Premier League,FW,Finisher,134,1,0,1,0.2,0.1,4,0.0
Jibril Othman,20.0,Saint-Étienne,fr Ligue 1,FW,Finisher,5,0,0,0,0.0,0.0,0,0.0
Sebastian Otoa,20.0,Genoa,it Serie A,DF,Finisher,179,0,0,0,0.0,0.0,0,1.0
David Otorbi,16.0,Valencia,es La Liga,MF,Finisher,14,0,0,0,0.0,0.0,0,0.0
Guimissongui Ouattara,18.0,Strasbourg,fr Ligue 1,"DF,FW",Finisher,471,1,1,2,0.3,0.5,18,0.17647058823529413
Kassoum Ouattara,19.0,Monaco,fr Ligue 1,"DF,FW",Finisher,391,0,1,1,0.2,1.2,16,0.4166666666666667
Assan Ouedraogo,18.0,RB Leipzig,de Bundesliga,MF,Finisher,50,0,0,0,0.1,0.0,1,0.0
Beres Owusu,20.0,Saint-Étienne,fr Ligue 1,DF,Finisher,90,0,0,0,0.0,0.0,3,1.0
Daniel Oyegoke,21.0,Hellas Verona,it Serie A,DF,Finisher,103,0,0,0,0.0,0.0,2,0.0
Nico O’Reilly,19.0,Manchester City,eng Premier League,DF,Finisher,528,2,0,2,1.3,0.4,17,0.6666666666666666
Alex Padilla,20.0,Athletic Club,es La Liga,GK,Finisher,321,0,0,0,0.0,0.0,0,0.6
Simone Pafundi,18.0,Udinese,it Serie A,"MF,DF",Finisher,116,0,0,0,0.1,0.7,0,0.0
Tomás Palacios,21.0,Monza,it Serie A,DF,Finisher,446,0,0,0,0.0,0.0,21,0.625
Tomás Palacios,21.0,Inter,it Serie A,DF,Finisher,11,0,0,0,0.0,0.0,3,0.0
Marco Palestra,19.0,Atalanta,it Serie A,DF,Finisher,222,0,0,0,0.0,0.2,6,0.2222222222222222
Matteo Palma,16.0,Udinese,it Serie A,DF,Finisher,5,0,0,0,0.0,0.0,1,0.0
Mats Pannewig,19.0,Bochum,de Bundesliga,MF,Finisher,267,0,0,0,0.8,0.1,10,0.14285714285714285
Kevin Paredes,21.0,Wolfsburg,de Bundesliga,DF,Finisher,123,0,1,1,0.4,0.1,7,1.0
Iago Parente,18.0,Valladolid,es La Liga,DF,Finisher,71,0,0,0,0.0,0.0,4,1.0
Aleksandar Pavlovic,20.0,Bayern Munich,de Bundesliga,MF,Playmaker,1451,1,0,1,0.6,0.2,128,0.8571428571428571
Nicolas Pays,20.0,Montpellier,fr Ligue 1,"FW,MF",Finisher,447,0,0,0,1.3,0.1,14,0.4444444444444444
Nicolás Paz,19.0,Como,it Serie A,"MF,FW",Defender,2687,6,8,14,9.3,6.0,163,0.8571428571428571
Pedri,21.0,Barcelona,es La Liga,MF,Defender,2879,4,5,9,2.2,7.4,360,0.9459459459459459
Kévin Pedro,18.0,Saint-Étienne,fr Ligue 1,DF,Finisher,10,0,0,0,0.0,0.0,0,0.0
Timothee Pembele,21.0,Le Havre,fr Ligue 1,DF,Finisher,1113,1,0,1,1.3,0.1,43,0.6
Peque,21.0,Sevilla,es La Liga,"MF,FW",Finisher,1134,1,1,2,2.5,1.2,35,0.5384615384615384
Sergiu Perciun,18.0,Torino,it Serie A,"FW,MF",Finisher,152,0,0,0,0.0,0.1,4,0.0
Óscar Perea,18.0,Strasbourg,fr Ligue 1,"MF,DF",Finisher,14,0,0,0,0.0,0.0,2,0.0
Francisco Perez,21.0,Valencia,es La Liga,"FW,MF",Finisher,570,0,0,0,0.3,2.6,13,0.15384615384615385
Máximo Perrone,21.0,Como,it Serie A,MF,Playmaker,1857,0,3,3,0.9,2.2,98,0.7692307692307693
Noah Pesch,19.0,Gladbach,de Bundesliga,FW,Finisher,6,0,0,0,0.0,0.0,1,0.0
Prosper Peter,16.0,Angers,fr Ligue 1,"MF,FW",Finisher,27,0,0,0,0.0,0.0,0,0.0
Valentín Pezzolesi,17.0,Las Palmas,es La Liga,DF,Finisher,6,0,0,0,0.0,0.0,0,0.0
Yeremi Pino,21.0,Villarreal,es La Liga,"MF,FW",Defender,1934,4,7,11,3.9,5.3,66,0.7352941176470589
Nicola Pintus,19.0,Cagliari,it Serie A,DF,Finisher,4,0,0,0,0.0,0.0,0,0.0
Niccolò Pisilli,19.0,Roma,it Serie A,MF,Playmaker,1227,2,1,3,2.7,0.7,63,0.39285714285714285
Damián Pizarro,19.0,Udinese,it Serie A,"FW,MF",Finisher,16,0,0,0,0.0,0.0,0,0.0
Alfie Pond,20.0,Wolves,eng Premier League,DF,Finisher,1,0,0,0,0.0,0.0,0,0.0
Tom Pouilly,21.0,Lens,fr Ligue 1,"DF,MF",Finisher,273,0,0,0,0.4,0.4,11,0.2
Matteo Prati,20.0,Cagliari,it Serie A,MF,Finisher,570,0,0,0,0.1,0.7,23,0.6666666666666666
David Preu,19.0,Union Berlin,de Bundesliga,"MF,DF",Finisher,121,0,0,0,0.1,0.0,3,0.2
Diego Pugno,18.0,Juventus,it Serie A,FW,Finisher,7,0,0,0,0.0,0.1,0,0.0
